time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-18 00:00:00+00:00,43,12,661,201
2022-10-19 00:00:00+00:00,38,9,571,229
2022-10-20 00:00:00+00:00,26,12,875,258
2022-10-21 00:00:00+00:00,69,16,921,319
2022-10-22 00:00:00+00:00,49,8,741,216
2022-10-23 00:00:00+00:00,180,15,1115,262
2022-10-24 00:00:00+00:00,195,13,1247,296
2022-10-25 00:00:00+00:00,175,11,971,236
2022-10-26 00:00:00+00:00,119,16,863,245
2022-10-27 00:00:00+00:00,59,12,808,222
2022-10-28 00:00:00+00:00,177,32,731,198
2022-10-29 00:00:00+00:00,119,23,893,209
2022-10-30 00:00:00+00:00,112,27,1026,208
2022-10-31 00:00:00+00:00,90,22,1168,379
