url_path,views_total,views_unique
/immich-app/immich,15474,10080
/immich-app/immich/issues,1487,447
/immich-app/immich/pulls,850,188
/immich-app/immich/blob/main/design/login-screen.png,524,492
/immich-app/immich/blob/main/design/web-home.jpeg,427,399
/immich-app/immich/tree/main/docker,379,240
/immich-app/immich/releases,373,240
/immich-app/immich/tree/main/server,353,287
/immich-app/immich/blob/main/docker/docker-compose.yml,340,197
/immich-app/immich/blob/main/design/backup-screen.png,298,291
