url_path,views_total,views_unique
/immich-app/immich,15412,10137
/immich-app/immich/issues,1497,454
/immich-app/immich/pulls,897,188
/immich-app/immich/blob/main/design/login-screen.png,522,488
/immich-app/immich/blob/main/design/web-home.jpeg,419,392
/immich-app/immich/tree/main/docker,384,239
/immich-app/immich/tree/main/server,347,281
/immich-app/immich/releases,343,224
/immich-app/immich/blob/main/docker/docker-compose.yml,337,197
/immich-app/immich/blob/main/design/backup-screen.png,292,286
