url_path,views_total,views_unique
/immich-app/immich,12775,8455
/immich-app/immich/issues,1395,382
/immich-app/immich/pulls,1011,160
/immich-app/immich/blob/main/design/login-screen.png,421,409
/immich-app/immich/blob/main/design/web-home.jpeg,340,316
/immich-app/immich/tree/main/docker,292,192
/immich-app/immich/tree/main/server,287,231
/immich-app/immich/releases,264,169
/immich-app/immich/blob/main/docker/docker-compose.yml,259,159
/immich-app/immich/blob/main/design/backup-screen.png,224,221
