url_path,views_total,views_unique
/immich-app/immich,12432,8247
/immich-app/immich/issues,1357,391
/immich-app/immich/pulls,1003,160
/immich-app/immich/blob/main/design/login-screen.png,406,395
/immich-app/immich/blob/main/design/web-home.jpeg,334,312
/immich-app/immich/tree/main/docker,276,180
/immich-app/immich/tree/main/server,274,217
/immich-app/immich/releases,256,168
/immich-app/immich/blob/main/docker/docker-compose.yml,247,156
/immich-app/immich/blob/main/design/backup-screen.png,217,213
