time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-03 00:00:00+00:00,98,20,648,168
2022-12-04 00:00:00+00:00,218,30,883,217
2022-12-05 00:00:00+00:00,246,37,869,236
2022-12-06 00:00:00+00:00,119,30,833,172
2022-12-07 00:00:00+00:00,157,25,825,177
2022-12-08 00:00:00+00:00,168,31,822,240
2022-12-09 00:00:00+00:00,313,41,785,201
2022-12-10 00:00:00+00:00,168,29,861,238
2022-12-11 00:00:00+00:00,153,27,874,248
2022-12-12 00:00:00+00:00,66,20,1061,263
2022-12-13 00:00:00+00:00,72,16,787,229
2022-12-14 00:00:00+00:00,79,16,876,267
2022-12-15 00:00:00+00:00,49,13,763,230
2022-12-16 00:00:00+00:00,238,30,523,168
