time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-04 00:00:00+00:00,110,30,1008,294
2023-01-05 00:00:00+00:00,15,15,817,247
2023-01-06 00:00:00+00:00,25,17,777,239
2023-01-07 00:00:00+00:00,158,30,953,240
2023-01-08 00:00:00+00:00,135,19,863,283
2023-01-09 00:00:00+00:00,195,32,1059,336
2023-01-10 00:00:00+00:00,304,46,1792,511
2023-01-11 00:00:00+00:00,110,29,2103,648
2023-01-12 00:00:00+00:00,261,42,1466,376
2023-01-13 00:00:00+00:00,127,32,1062,304
2023-01-14 00:00:00+00:00,101,34,816,254
2023-01-15 00:00:00+00:00,181,64,949,256
2023-01-16 00:00:00+00:00,193,57,930,298
2023-01-17 00:00:00+00:00,161,57,1063,289
