url_path,views_total,views_unique
/immich-app/immich,15133,10010
/immich-app/immich/issues,1504,448
/immich-app/immich/pulls,968,188
/immich-app/immich/blob/main/design/login-screen.png,516,487
/immich-app/immich/blob/main/design/web-home.jpeg,418,391
/immich-app/immich/tree/main/docker,369,229
/immich-app/immich/tree/main/server,333,274
/immich-app/immich/releases,331,214
/immich-app/immich/blob/main/docker/docker-compose.yml,330,193
/immich-app/immich/blob/main/design/backup-screen.png,282,275
