url_path,views_total,views_unique
/immich-app/immich,12296,8194
/immich-app/immich/issues,1356,392
/immich-app/immich/pulls,1010,158
/immich-app/immich/blob/main/design/login-screen.png,402,389
/immich-app/immich/blob/main/design/web-home.jpeg,333,317
/immich-app/immich/tree/main/docker,287,184
/immich-app/immich/tree/main/server,286,219
/immich-app/immich/blob/main/docker/docker-compose.yml,252,159
/immich-app/immich/releases,250,165
/immich-app/immich/blob/main/design/backup-screen.png,207,200
