time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-16 00:00:00+00:00,133,30,980,257
2022-11-17 00:00:00+00:00,107,24,721,214
2022-11-18 00:00:00+00:00,69,16,637,210
2022-11-19 00:00:00+00:00,63,23,771,208
2022-11-20 00:00:00+00:00,169,23,1147,268
2022-11-21 00:00:00+00:00,164,31,1126,352
2022-11-22 00:00:00+00:00,48,23,1820,691
2022-11-23 00:00:00+00:00,32,14,1411,425
2022-11-24 00:00:00+00:00,95,21,1000,246
2022-11-25 00:00:00+00:00,68,21,857,227
2022-11-26 00:00:00+00:00,81,18,962,222
2022-11-27 00:00:00+00:00,111,19,1071,200
2022-11-28 00:00:00+00:00,152,24,737,209
2022-11-29 00:00:00+00:00,15,7,587,212
