time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-01 00:00:00+00:00,115,22,908,249
2022-11-02 00:00:00+00:00,58,19,728,202
2022-11-03 00:00:00+00:00,98,24,736,202
2022-11-04 00:00:00+00:00,416,55,1104,297
2022-11-05 00:00:00+00:00,123,19,673,196
2022-11-06 00:00:00+00:00,77,21,1181,374
2022-11-07 00:00:00+00:00,201,39,2025,637
2022-11-08 00:00:00+00:00,177,49,1607,386
2022-11-09 00:00:00+00:00,197,49,1229,306
2022-11-10 00:00:00+00:00,110,24,958,260
2022-11-11 00:00:00+00:00,154,25,797,282
2022-11-12 00:00:00+00:00,59,13,1571,575
2022-11-13 00:00:00+00:00,67,18,1657,721
2022-11-14 00:00:00+00:00,114,23,1194,311
