url_path,views_total,views_unique
/immich-app/immich,14899,9642
/immich-app/immich/issues,1406,442
/immich-app/immich/pulls,705,184
/immich-app/immich/blob/main/design/login-screen.png,513,481
/immich-app/immich/blob/main/design/web-home.jpeg,399,381
/immich-app/immich/releases,366,239
/immich-app/immich/tree/main/docker,361,224
/immich-app/immich/tree/main/server,349,276
/immich-app/immich/blob/main/docker/docker-compose.yml,325,186
/immich-app/immich/blob/main/design/backup-screen.png,286,276
