url_path,views_total,views_unique
/immich-app/immich,14864,9818
/immich-app/immich/issues,1469,446
/immich-app/immich/pulls,965,184
/immich-app/immich/blob/main/design/login-screen.png,510,485
/immich-app/immich/blob/main/design/web-home.jpeg,405,374
/immich-app/immich/tree/main/docker,366,226
/immich-app/immich/tree/main/server,328,272
/immich-app/immich/releases,325,210
/immich-app/immich/blob/main/docker/docker-compose.yml,323,189
/immich-app/immich/blob/main/design/backup-screen.png,279,274
