url_path,views_total,views_unique
/immich-app/immich,13418,8826
/immich-app/immich/issues,1403,397
/immich-app/immich/pulls,953,162
/immich-app/immich/blob/main/design/login-screen.png,459,450
/immich-app/immich/blob/main/design/web-home.jpeg,359,338
/immich-app/immich/tree/main/docker,315,206
/immich-app/immich/tree/main/server,305,245
/immich-app/immich/releases,286,184
/immich-app/immich/blob/main/docker/docker-compose.yml,273,172
/immich-app/immich/blob/main/design/backup-screen.png,241,237
