time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-20 00:00:00+00:00,163,33,3185,1054
2022-12-21 00:00:00+00:00,198,31,1529,432
2022-12-22 00:00:00+00:00,137,27,909,298
2022-12-23 00:00:00+00:00,75,23,998,342
2022-12-24 00:00:00+00:00,116,24,991,303
2022-12-25 00:00:00+00:00,5,5,937,263
2022-12-26 00:00:00+00:00,158,28,1242,375
2022-12-27 00:00:00+00:00,146,24,1247,336
2022-12-28 00:00:00+00:00,69,19,1129,342
2022-12-29 00:00:00+00:00,305,55,1430,385
2022-12-30 00:00:00+00:00,205,41,1126,306
2022-12-31 00:00:00+00:00,51,15,812,281
2023-01-01 00:00:00+00:00,24,14,918,308
2023-01-02 00:00:00+00:00,45,21,972,349
