time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-14 00:00:00+00:00,79,16,876,267
2022-12-15 00:00:00+00:00,49,13,763,230
2022-12-16 00:00:00+00:00,240,32,614,187
2022-12-17 00:00:00+00:00,125,23,666,176
2022-12-18 00:00:00+00:00,124,22,481,176
2022-12-19 00:00:00+00:00,173,25,1243,336
2022-12-20 00:00:00+00:00,163,33,3185,1054
2022-12-21 00:00:00+00:00,198,31,1529,432
2022-12-22 00:00:00+00:00,137,27,909,298
2022-12-23 00:00:00+00:00,75,23,998,342
2022-12-24 00:00:00+00:00,116,24,991,303
2022-12-25 00:00:00+00:00,5,5,937,263
2022-12-26 00:00:00+00:00,158,28,1242,375
2022-12-27 00:00:00+00:00,144,22,1121,313
