time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-28 00:00:00+00:00,177,32,731,198
2022-10-29 00:00:00+00:00,119,23,893,209
2022-10-30 00:00:00+00:00,112,27,1026,208
2022-10-31 00:00:00+00:00,93,25,1225,399
2022-11-01 00:00:00+00:00,115,22,908,249
2022-11-02 00:00:00+00:00,58,19,728,202
2022-11-03 00:00:00+00:00,98,24,736,202
2022-11-04 00:00:00+00:00,416,55,1104,297
2022-11-05 00:00:00+00:00,123,19,673,196
2022-11-06 00:00:00+00:00,77,21,1181,374
2022-11-07 00:00:00+00:00,201,39,2025,637
2022-11-08 00:00:00+00:00,177,49,1607,386
2022-11-09 00:00:00+00:00,197,49,1229,306
2022-11-10 00:00:00+00:00,97,20,881,246
