url_path,views_total,views_unique
/immich-app/immich,13832,9171
/immich-app/immich/issues,1412,412
/immich-app/immich/pulls,952,168
/immich-app/immich/blob/main/design/login-screen.png,476,458
/immich-app/immich/blob/main/design/web-home.jpeg,368,346
/immich-app/immich/tree/main/docker,335,216
/immich-app/immich/tree/main/server,323,260
/immich-app/immich/releases,299,186
/immich-app/immich/blob/main/docker/docker-compose.yml,293,181
/immich-app/immich/blob/main/design/backup-screen.png,248,242
