url_path,views_total,views_unique
/immich-app/immich,5314,2839
/immich-app/immich/issues,939,278
/immich-app/immich/pulls,678,112
/immich-app/immich/tree/main/docker,252,143
/immich-app/immich/blob/main/docker/docker-compose.yml,192,122
/immich-app/immich/blob/main/design/login-screen.png,191,186
/immich-app/immich/blob/main/docker/.env.example,182,102
/immich-app/immich/releases/tag/v1.26.0_36-dev,181,135
/immich-app/immich/blob/main/design/web-home.jpeg,173,164
/immich-app/immich/releases,172,120
